"Part","Value","Device","Package","DescriptionMF","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","VALUE",
"C1","100uF 6.3V","CPOL-USCT3528","CT3528","POLARIZED CAPACITOR, American symbol","","","","","",
"D4","DIFFUSE","LED-RGB-CADIFFUSE","LED-RGB-THRU","LED-RGB Diffused Common Anode","","","","","DIO-10632",
"IC1","PCA9633","PCA9633","SO16","4-bit I2C-bus and SMBus low power I/O port with LED drivers","","","","","",
"POWER","GREEN","LEDCHIPLED_1206","CHIPLED_1206","LED","","","","","",
"R5","1K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R6","150R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R17","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R18","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R19","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R20","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R21","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R23","470R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R25","180R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R26","180R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"R27","220","R-US_R0603","R0603","RESISTOR, American symbol","","","","","",
"SW1","","SW_DIP-5","EDG-05","DIP SWITCH","","","","","",
"VL1","VL53L0X-GREEN","VL53L0X-GREEN","VL53L0X-GREEN","","","","","","",
"X1","RJ45-8X","RJ45-8X","RJ45-NO-SHIELD","CORCOM Modular RJ Jacks No Shield","","RJ45-8X","unknown","16R6101","",
"X2","RJ45-8X","RJ45-8X","RJ45-NO-SHIELD","CORCOM Modular RJ Jacks No Shield","","RJ45-8X","unknown","16R6101","",
"XCVR1","PCA9600DSO8","PCA9600DSO8","SO08","NXP PCA9600 I2C long distance driver","","","","","",
